id,time,會計年度,月份,會計分類,項目,預算科目編號,預算科目名稱,經資門,收入實現數,減項_收入待納庫數,加項_以前年度待納庫繳庫數,加項_以前年度撥款於本年度繳還數_材料,加項_以前年度撥款於本年度繳還數_存出保證金,加項_以前年度撥款於本年度繳還數_其他應收款,加項_預收款,加項_剔除經費,繳付公庫數
201,10904,109,04,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,本年度,,,,2071440,0,0,0,0,0,0,0,2071440
201,10905,109,05,1,,0402010301,一般賠償收入,,18704,0,0,0,0,0,0,0,18704
201,10905,109,05,1,,0502010303,資料使用費,,20,0,0,0,0,0,0,0,20
201,10905,109,05,1,,0702010102,權利金,,29623,0,0,0,0,0,0,0,29623
201,10905,109,05,1,,0702010103,租金收入,,1872279,0,0,0,0,0,0,0,1872279
201,10905,109,05,1,,0702010500,廢舊物資售價,,35410,0,0,0,0,0,0,0,35410
201,10905,109,05,1,,1202010201,收回以前年度歲出,,4257,0,0,0,0,0,0,0,4257
201,10905,109,05,1,,1202010210,其他雜項收入,,111147,0,0,0,0,0,0,0,111147
201,10905,109,05,1,以前年度,,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,一、以前年度應收(保留)數,,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,本年度,,,,2173716,0,0,0,0,0,0,0,2173716
201,10906,109,06,1,,0402010301,一般賠償收入,,18704,0,0,0,0,0,0,0,18704
201,10906,109,06,1,,0502010303,資料使用費,,20,0,0,0,0,0,0,0,20
201,10906,109,06,1,,0702010101,利息收入,,2,0,0,0,0,0,0,0,2
201,10906,109,06,1,,0702010102,權利金,,29623,0,0,0,0,0,0,0,29623
201,10906,109,06,1,,0702010103,租金收入,,1948479,0,0,0,0,0,0,0,1948479
201,10906,109,06,1,,0702010500,廢舊物資售價,,35410,0,0,0,0,0,0,0,35410
201,10906,109,06,1,,1202010201,收回以前年度歲出,,4257,0,0,0,0,0,0,0,4257
201,10906,109,06,1,,1202010210,其他雜項收入,,137221,0,0,0,0,0,0,0,137221
201,10906,109,06,1,以前年度,,,,649053,0,0,0,0,0,0,0,649053
201,10906,109,06,1,一、以前年度應收(保留)數,,,,649053,0,0,0,0,0,0,0,649053
201,10906,109,06,1,,0402010301,一般賠償收入,,649053,0,0,0,0,0,0,0,649053
201,10906,109,06,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10907,109,07,1,本年度,,,,2126211,0,0,0,0,0,0,0,2126211
201,10907,109,07,1,,0402010301,一般賠償收入,,18704,0,0,0,0,0,0,0,18704
201,10907,109,07,1,,0502010303,資料使用費,,40,0,0,0,0,0,0,0,40
201,10907,109,07,1,,0702010101,利息收入,,2,0,0,0,0,0,0,0,2
201,10907,109,07,1,,0702010102,權利金,,31368,0,0,0,0,0,0,0,31368
201,10907,109,07,1,,0702010103,租金收入,,1876496,0,0,0,0,0,0,0,1876496
201,10907,109,07,1,,0702010500,廢舊物資售價,,35410,0,0,0,0,0,0,0,35410
201,10907,109,07,1,,1202010201,收回以前年度歲出,,4257,0,0,0,0,0,0,0,4257
201,10907,109,07,1,,1202010210,其他雜項收入,,159934,0,0,0,0,0,0,0,159934
201,10907,109,07,1,以前年度,,,,649053,0,0,0,0,0,0,0,649053
201,10907,109,07,1,一、以前年度應收(保留)數,,,,649053,0,0,0,0,0,0,0,649053
201,10907,109,07,1,,0402010301,一般賠償收入,,649053,0,0,0,0,0,0,0,649053
201,10907,109,07,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10907,109,07,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10907,109,07,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10907,109,07,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10907,109,07,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10907,109,07,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10907,109,07,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10907,109,07,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10907,109,07,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
